Manor ID,Monetary Value in 1086,Total Ploughs
13144,1.5,4.0
12960,,0.0
13111,2.06,8.5
13070,,7.0
13189,0.5,1.0
13174,5.0,15.0
13218,0.1,0.0
11561,12.0,13.0
13017,4.0,10.0
13018,,1.0
13211,2.0,8.0
12991,3.0,4.0
13178,0.5,2.0
12989,3.0,4.5
13197,1.5,2.0
13142,1.5,4.0
13137,6.0,11.0
13200,0.33,1.0
12999,0.31,1.0
13136,0.0,0.0
13193,1.6,4.0
13002,0.4,1.0
13106,3.0,6.0
12944,10.0,4.0
13198,0.8,2.0
12944,10.0,4.0
13208,1.0,4.5
12944,10.0,4.0
13137,6.0,11.0
13209,0.4,1.5
13204,1.0,3.0
13194,,0.0
13195,0.26,0.0
12949,,2.0
13139,0.95,5.0
12944,10.0,4.0
13134,3.0,6.0
13140,1.0,4.5
13124,7.0,10.0
13108,1.0,4.0
13107,0.5,2.0
13168,0.5,1.0
12946,0.0,0.0
13205,1.0,4.5
13206,0.0,0.0
13002,0.4,1.0
13170,0.5,3.0
13123,1.0,3.0
13172,0.05,0.0
13201,0.45,1.0
13000,0.5,3.0
13140,1.0,4.5
13120,4.0,7.5
13135,,5.0
13122,4.0,11.5
12944,10.0,4.0
13143,1.5,6.0
13122,4.0,11.5
12951,,0.0
13196,0.07,1.0
13120,4.0,7.5
13147,0.0,0.0
13121,0.26,1.5
13170,0.5,3.0
13171,0.5,2.0
12951,,0.0
13122,4.0,11.5
13202,0.25,0.0
12944,10.0,4.0
13122,4.0,11.5
12946,0.0,0.0
13138,2.5,6.0
12950,,1.0
13198,0.8,2.0
13138,2.5,6.0
13110,0.53,2.0
13109,0.5,2.0
13118,1.0,4.0
13001,1.5,6.0
13169,6.0,7.0
13125,3.0,8.0
13140,1.0,4.5
13141,0.15,2.0
12998,1.0,2.0
12944,10.0,4.0
13207,0.13,1.0
12947,,0.25
12952,1.0,5.0
12979,0.5,2.5
13203,0.05,0.0
13001,1.5,6.0
13138,2.5,6.0
13110,0.53,2.0
13148,0.0,0.0
12948,,0.0
12952,1.0,5.0
12950,,1.0
13121,0.26,1.5
13170,0.5,3.0
13171,0.5,2.0
12953,0.0,0.0
13120,4.0,7.5
13146,0.25,2.0
13137,6.0,11.0
13122,4.0,11.5
12945,,4.0
11549,8.0,11.0
13056,2.0,6.0
12988,3.0,3.0
13021,4.0,7.0
12961,5.0,6.5
12992,1.0,2.0
13020,3.0,7.0
12990,1.5,3.0
13177,2.0,7.0
13180,0.75,2.0
13025,0.5,0.0
13026,0.5,0.0
13177,2.0,7.0
12969,,1.0
13156,0.5,2.0
13181,,0.5
13222,,
13210,4.0,4.0
12962,6.0,6.0
12963,8.0,15.0
12961,5.0,6.5
12963,8.0,15.0
12959,10.0,14.0
13183,1.0,2.0
13024,0.5,1.0
13221,1.0,4.5
13019,0.75,2.0
13179,1.5,3.0
12965,,1.0
12993,0.5,2.0
13182,0.15,2.0
12959,10.0,14.0
